family	key	match_tag	case_variant	case_variant_key_collision	context	input	target_surfaces	ordered_returned_surfaces
C	AA	1	aa	False	baseline-neutral	We noted AA today.	AA	We / noted / AA / today / . / Next / .
C	AA	1	aa	False	numeric-or-ordinary	It is 5 AA. long.	five / AA	It / is / five / AA / long / . / Next / .
C	AA	1	aa	False	comma-neighbor	We noted, AA, today.	AA	We / noted / , / AA / , / today / . / Next / .
C	AA	1	aa	False	case-variant-neutral	We noted aa today.	aa	We / noted / aa / today / . / Next / .
C	AB	1	ab	False	baseline-neutral	We noted AB today.	AB	We / noted / AB / today / . / Next / .
C	AB	1	ab	False	numeric-or-ordinary	It is 5 AB. long.	five / AB	It / is / five / AB / long / . / Next / .
C	AB	1	ab	False	comma-neighbor	We noted, AB, today.	AB	We / noted / , / AB / , / today / . / Next / .
C	AB	1	ab	False	case-variant-neutral	We noted ab today.	ab	We / noted / ab / today / . / Next / .
C	AD	1	ad	False	baseline-neutral	We noted AD today.	AD	We / noted / AD / today / . / Next / .
C	AD	1	ad	False	numeric-or-ordinary	It is 5 AD. long.	five / AD	It / is / five / AD / long / . / Next / .
C	AD	1	ad	False	comma-neighbor	We noted, AD, today.	AD	We / noted / , / AD / , / today / . / Next / .
C	AD	1	ad	False	case-variant-neutral	We noted ad today.	ad	We / noted / ad / today / . / Next / .
C	AE	1	ae	False	baseline-neutral	We noted AE today.	AE	We / noted / AE / today / . / Next / .
C	AE	1	ae	False	numeric-or-ordinary	It is 5 AE. long.	five / AE	It / is / five / AE / long / . / Next / .
C	AE	1	ae	False	comma-neighbor	We noted, AE, today.	AE	We / noted / , / AE / , / today / . / Next / .
C	AE	1	ae	False	case-variant-neutral	We noted ae today.	ae	We / noted / ae / today / . / Next / .
C	AK	1	ak	False	baseline-neutral	We noted AK today.	AK	We / noted / AK / today / . / Next / .
C	AK	1	ak	False	state-code	We live in AK.	AK	We / live / in / AK / . / Next / .
C	AK	1	ak	False	comma-neighbor	We noted, AK, today.	AK	We / noted / , / AK / , / today / . / Next / .
C	AK	1	ak	False	case-variant-neutral	We noted ak today.	ak	We / noted / ak / today / . / Next / .
C	AL	1	al	False	baseline-neutral	We noted AL today.	AL	We / noted / AL / today / . / Next / .
C	AL	1	al	False	state-code	We live in AL.	AL	We / live / in / AL / . / Next / .
